"location","max_infection_count","population","max_infection_rate"
"Seychelles",21473.000,98910.000,21.710
"Montenegro",131499.000,628051.000,20.938
"Andorra",15222.000,77354.000,19.678
"San Marino",5440.000,34010.000,15.995
"Czechia",1691489.000,10724553.000,15.772
"Bahrain",275057.000,1748295.000,15.733
"Maldives",84809.000,543620.000,15.601
"Georgia",613012.000,3979773.000,15.403
"Israel",1282218.000,8789776.000,14.588
"Slovenia",293364.000,2078723.000,14.113
"Serbia",941989.000,6804596.000,13.843
"Cyprus",120143.000,888005.000,13.530
"United States",43459809.000,332915074.000,13.054
"Lithuania",331683.000,2689862.000,12.331
"Luxembourg",78219.000,634814.000,12.322
"Netherlands",2041429.000,17173094.000,11.887
"Estonia",156257.000,1325188.000,11.791
"Argentina",5256902.000,45605823.000,11.527
"United Kingdom",7843887.000,68207114.000,11.500
"Sweden",1152886.000,10160159.000,11.347
"Uruguay",388928.000,3485152.000,11.160
"Belgium",1244954.000,11632334.000,10.703
"Panama",467113.000,4381583.000,10.661
"Spain",4959091.000,46745211.000,10.609
"France",7106028.000,67564251.000,10.517
"Portugal",1069279.000,10167923.000,10.516
"Costa Rica",532185.000,5139053.000,10.356
"Brazil",21427073.000,213993441.000,10.013
"Croatia",404790.000,4081657.000,9.917
"Colombia",4957277.000,51265841.000,9.670
"Switzerland",840363.000,8715494.000,9.642
"Kuwait",411655.000,4328553.000,9.510
"Lebanon",624230.000,6769151.000,9.222
"North Macedonia",191408.000,2082661.000,9.191
"Mongolia",304084.000,3329282.000,9.134
"Liechtenstein",3447.000,38254.000,9.011
"Armenia",261697.000,2968128.000,8.817
"Chile",1654264.000,19212362.000,8.610
"Hungary",822705.000,9634162.000,8.539
"Latvia",158291.000,1866934.000,8.479
"Monaco",3314.000,39520.000,8.386
"Turkey",7124654.000,85042736.000,8.378
"Kosovo",160072.000,1932774.000,8.282
"Austria",743095.000,9043072.000,8.217
"Qatar",236643.000,2930524.000,8.075
"Jordan",823919.000,10269022.000,8.023
"Ireland",389932.000,4982904.000,7.825
"Cuba",877428.000,11317498.000,7.753
"Italy",4672355.000,60367471.000,7.740
"Palestine",403716.000,5222756.000,7.730
"Poland",2907071.000,37797000.000,7.691
"Slovakia",412507.000,5460726.000,7.554
"Botswana",179220.000,2397240.000,7.476
"United Arab Emirates",735992.000,9991083.000,7.366
"Moldova",294392.000,4024025.000,7.316
"Bulgaria",502162.000,6896655.000,7.281
"Malta",37149.000,514564.000,7.220
